tile,stype,tusc_mean,ntusc_mean,tusc_std,ntusc_std
tile_0,ATsources,40559.7392578125,65470.807652741125,8524.079670725348,546583.4491818098
tile_10,ATsources,27830.29496017157,37124.16701871333,26687.85997147482,30475.852184715357
tile_11,ATsources,21337.65677545721,64445.43735442644,19282.668201159795,565839.6211293793
tile_12,ATsources,27377.188708075162,38392.85359694318,17565.531106329654,23601.23204288429
tile_13,ATsources,21198.76873953683,38970.78405978155,17411.467394744483,57635.49299464114
tile_14,ATsources,23639.739010133606,50794.748118802905,18658.20010288984,196270.44668679967
tile_15,ATsources,131218.27153804383,52568.636714060965,766962.3190180889,301368.5557543087
tile_16,ATsources,21735.190908003828,44141.46509066061,15362.222843890802,177042.96619521975
tile_17,ATsources,26305.200612386066,41857.586052395185,19223.960023125383,101340.88184074838
tile_18,ATsources,26578.11450631278,108054.1733975663,21543.568166328583,880915.7962844421
tile_19,ATsources,15154.899542791192,83829.61368045356,11399.830536865024,549815.649171467
tile_20,ATsources,24576.65099963513,41800.94366711048,19322.487649679388,145629.86715518602
tile_21,ATsources,17666.667444565715,39650.13280866045,12570.030353538656,60292.262421295745
tile_22,ATsources,27718.146733122052,41396.13105350602,21739.96329133103,32878.173050974634
tile_23,ATsources,31163.684169769287,36569.2178343721,67292.30853909306,40136.76479203478
tile_24,ATsources,23376.891146087648,42138.42590108831,17527.639226535455,105956.08423517326
tile_25,ATsources,152637.22579392933,62903.94152065565,830456.1690976678,442197.3763588944
tile_26,ATsources,29191.683067244714,82172.64015227047,29045.902611116864,1018201.0157308059
tile_27,ATsources,30060.382705078126,44351.11712176163,19612.46357661679,159779.9984415231
tile_28,ATsources,35380.56903076172,45806.03605926811,18789.369752415612,76451.2700393977
tile_29,ATsources,63301.98676006611,47395.848206853865,197291.41680874716,207765.13003293687
tile_2,ATsources,10176.89453125,40332.441292726704,,14542.49152495581
tile_30,ATsources,25373.761992663873,51249.033743789514,23039.947177815466,307889.13776966505
tile_31,ATsources,40900.91699037457,39363.644383795036,86299.46736337541,41716.11878868745
tile_32,ATsources,40989.4156040428,48852.53773956838,88997.1175951356,221574.8814878089
tile_33,ATsources,22096.04669252376,75287.92589772168,20437.608378124118,632743.6683253844
tile_34,ATsources,70596.21462697831,77467.52995201951,271778.01438503823,862764.3728302887
tile_35,ATsources,32860.0796875,52559.535078140885,22440.7770915827,307759.0318196808
tile_3,ATsources,20570.560383189808,36307.79155906324,15232.195817159998,25361.317999896157
tile_4,ATsources,29287.02615792411,35888.181192139564,19692.144493924974,23458.611016440802
tile_5,ATsources,32826.10078125,31707.70988684613,23932.16728120093,35654.532989570536
tile_7,ATsources,24342.178943722745,34330.32785670205,20469.71881528887,21654.320146742146
tile_8,ATsources,16684.795266772075,123703.30596005917,19323.99514914398,1940378.1561233888
tile_9,ATsources,20553.372233072918,36440.24145489236,19360.63754450822,25106.460978334988
